#Download source:SaaleRBIS
#Date:2008-03-03
#Username:Franziska Zander
#Dataset title:Grundwasserstand Wettewitz
#Time series ID:2054
#Metadata ID:890
#Column 1:groundwater level (cm)
1987-11-01 00:00	72
1987-11-08 00:00	70
1987-11-15 00:00	62
1987-11-22 00:00	35
1987-12-01 00:00	43
1987-12-08 00:00	47
1987-12-15 00:00	51
1987-12-22 00:00	53
1988-01-01 00:00	8
1988-01-08 00:00	24
1988-01-15 00:00	33
1988-01-22 00:00	42
1988-02-01 00:00	50
1988-02-08 00:00	48
1988-02-15 00:00	42
1988-02-22 00:00	42
1988-03-01 00:00	34
1988-03-08 00:00	18
1988-03-15 00:00	10
1988-03-22 00:00	5
1988-04-01 00:00	10
1988-04-08 00:00	29
1988-04-15 00:00	41
1988-04-22 00:00	48
1988-05-01 00:00	52
1988-05-08 00:00	74
1988-05-15 00:00	74
1988-05-22 00:00	76
1988-06-01 00:00	77
1988-06-08 00:00	78
1988-06-15 00:00	78
1988-06-22 00:00	86
1988-07-01 00:00	82
1988-07-08 00:00	80
1988-07-15 00:00	73
1988-07-22 00:00	73
1988-08-01 00:00	73
1988-08-08 00:00	70
1988-08-15 00:00	71
1988-08-22 00:00	69
1988-09-01 00:00	70
1988-09-08 00:00	72
1988-09-15 00:00	74
1988-09-22 00:00	71
1988-10-01 00:00	71
1988-10-08 00:00	70
1988-10-15 00:00	70
1988-10-22 00:00	70
1988-11-01 00:00	72
1988-11-08 00:00	71
1988-11-15 00:00	70
1988-11-22 00:00	70
1988-12-01 00:00	68
1988-12-08 00:00	60
1988-12-15 00:00	40
1988-12-22 00:00	12
1989-01-01 00:00	8
1989-01-08 00:00	12
1989-01-15 00:00	18
1989-01-22 00:00	29
1989-02-01 00:00	41
1989-02-08 00:00	52
1989-02-15 00:00	48
1989-02-22 00:00	34
1989-03-01 00:00	38
1989-03-08 00:00	45
1989-03-15 00:00	41
1989-03-22 00:00	36
1989-04-01 00:00	36
1989-04-08 00:00	38
